prefix,npa,nxx,location,city,state,country,latitude,longitude
1201,201,,New Jersey,,NJ,US,40.7357,-74.1724
1201200,201,200,"Jersey City, NJ",Jersey City,NJ,US,40.72816,-74.07764
1201216,201,216,"Jersey City, NJ",Jersey City,NJ,US,40.72816,-74.07764
1201217,201,217,"Jersey City, NJ",Jersey City,NJ,US,40.72816,-74.07764
1201222,201,222,"Jersey City, NJ",Jersey City,NJ,US,40.72816,-74.07764
1201224,201,224,"Fort Lee, NJ",Fort Lee,NJ,US,40.85093,-73.97014
1201225,201,225,"Paramus, NJ",Paramus,NJ,US,40.94454,-74.07542
1201239,201,239,"Jersey City, NJ",Jersey City,NJ,US,40.72816,-74.07764
1201242,201,242,"Fort Lee, NJ",Fort Lee,NJ,US,40.85093,-73.97014
1201244,201,244,"Bergenfield, NJ",Bergenfield,NJ,US,40.9276,-73.99736
1201288,201,288,"Hasbrouck Hts, NJ",Hasbrouck Hts,NJ,US,40.85816,-74.0807
1201309,201,309,"Jersey City, NJ",Jersey City,NJ,US,40.72816,-74.07764
1201332,201,332,"Jersey City, NJ",Jersey City,NJ,US,40.72816,-74.07764
1201333,201,333,"Jersey City, NJ",Jersey City,NJ,US,40.72816,-74.07764
1201336,201,336,"Hackensack, NJ",Hackensack,NJ,US,40.88593,-74.04347
1201337,201,337,"Oakland, NJ",Oakland,NJ,US,41.01315,-74.26431
1201339,201,339,"Bayonne, NJ",Bayonne,NJ,US,40.66871,-74.11431
1201342,201,342,"Hackensack, NJ",Hackensack,NJ,US,40.88593,-74.04347
1201343,201,343,"Hackensack, NJ",Hackensack,NJ,US,40.88593,-74.04347
1201346,201,346,"Fort Lee, NJ",Fort Lee,NJ,US,40.85093,-73.97014
1201357,201,357,"Teaneck, NJ",Teaneck,NJ,US,40.8976,-74.01597
1201360,201,360,"Jersey City, NJ",Jersey City,NJ,US,40.72816,-74.07764
1201363,201,363,"Fort Lee, NJ",Fort Lee,NJ,US,40.85093,-73.97014
1201384,201,384,"Bergenfield, NJ",Bergenfield,NJ,US,40.9276,-73.99736
1201385,201,385,"Bergenfield, NJ",Bergenfield,NJ,US,40.9276,-73.99736
1201386,201,386,"Jersey City, NJ",Jersey City,NJ,US,40.72816,-74.07764
1201405,201,405,"Oakland, NJ",Oakland,NJ,US,41.01315,-74.26431
1201418,201,418,"Hoboken, NJ",Hoboken,NJ,US,40.74399,-74.03236
1201432,201,432,"Jersey City, NJ",Jersey City,NJ,US,40.72816,-74.07764
1201433,201,433,"Jersey City, NJ",Jersey City,NJ,US,40.72816,-74.07764
1201434,201,434,"Jersey City, NJ",Jersey City,NJ,US,40.72816,-74.07764
1201435,201,435,"Jersey City, NJ",Jersey City,NJ,US,40.72816,-74.07764
1201436,201,436,"Bayonne, NJ",Bayonne,NJ,US,40.66871,-74.11431
1201437,201,437,"Bayonne, NJ",Bayonne,NJ,US,40.66871,-74.11431
1201451,201,451,"Jersey City, NJ",Jersey City,NJ,US,40.72816,-74.07764
1201457,201,457,"Hackensack, NJ",Hackensack,NJ,US,40.88593,-74.04347
1201461,201,461,"Fort Lee, NJ",Fort Lee,NJ,US,40.85093,-73.97014
1201475,201,475,"Fair Lawn, NJ",Fair Lawn,NJ,US,40.94038,-74.13181
