# NANP location coordinates
# Generated from GeoNames cities500 dataset
# Format: location_name|latitude|longitude
#
100 Mile House, BC|51.64982|-121.28594
Abbeville, AL|31.57184|-85.25049
Abbeville, LA|29.97465|-92.13429
Abbeville, SC|34.17817|-82.37901
Abbotsford, BC|49.05798|-122.25257
Aberdeen, ID|42.94408|-112.83833
Aberdeen, MD|39.50956|-76.16412
Aberdeen, MS|33.82511|-88.54366
Aberdeen, NC|35.13155|-79.42948
Aberdeen, SD|45.4647|-98.48648
Aberdeen, WA|46.97537|-123.81572
Abilene, KS|38.91722|-97.21391
Abilene, TX|32.44874|-99.73314
Abingdon, IL|40.80448|-90.4018
Abingdon, VA|36.70983|-81.97735
Abington, PA|40.12067|-75.11795
Absarokee, MT|45.5205|-109.44294
Accokeek, MD|38.66762|-77.02831
Ackerman, MS|33.31012|-89.17284
Ackley, IA|42.55415|-93.05326
Acton Vale, QC|45.65007|-72.56582
Acton, CA|34.46999|-118.19674
Acton, MA|42.48509|-71.43284
Acton, ON|43.62969|-80.04149
Acworth, GA|34.06635|-84.67837
Ada, MN|47.29969|-96.51535
Ada, OH|40.7695|-83.82271
Ada, OK|34.77453|-96.67834
Adairsville, GA|34.3687|-84.93411
Adams, MA|42.62425|-73.1176
Adams, NY|43.80923|-76.02409
Adamsville, TN|35.23591|-88.3906
Addison, IL|41.9317|-87.98896
Addison, NY|42.10285|-77.23359
Adel, GA|31.13727|-83.42408
Adel, IA|41.61443|-94.01745
Adelanto, CA|34.58277|-117.40922
Adrian, MI|41.89755|-84.03717
Adrian, MN|43.63497|-95.9328
Adrian, MO|38.39752|-94.35162
Advance, MO|37.10455|-89.90953
Advance, NC|35.94125|-80.40922
Afton, NY|42.22814|-75.52657
Afton, OK|36.69369|-94.96302
Afton, WY|42.72493|-110.93187
Agassiz, BC|49.23298|-121.76926
Agawam, MA|42.10148|-72.58981
Agoura Hills, CA|34.13639|-118.77453
Ahoskie, NC|36.28682|-76.98468
Aiea, HI|21.38222|-157.93361
Aiken, SC|33.56042|-81.71955
Ainsworth, NE|42.55|-99.86262
Air Force Academy, CO|38.99425|-104.86375
Airdrie, AB|51.30011|-114.03528
Airway Heights, WA|47.64461|-117.59327
Aitkin, MN|46.53301|-93.71025
